gwcode,gwc,country_name,start,end,microstate
483,CHA,Chad,11/08/1960,31/12/9999,FALSE
484,CON,Congo,15/08/1960,31/12/9999,FALSE
490,DRC,"Congo, Democratic Republic of (Zaire)",30/06/1960,31/12/9999,FALSE
500,UGA,Uganda,09/10/1962,31/12/9999,FALSE
501,KEN,Kenya,12/12/1963,31/12/9999,FALSE
510,TAZ,Tanzania/Tanganyika,09/12/1961,31/12/9999,FALSE
511,ZAN,Zanzibar,19/12/1963,26/04/1964,FALSE
516,BUI,Burundi,01/07/1962,31/12/9999,FALSE
517,RWA,Rwanda,07/01/1962,31/12/9999,FALSE
520,SOM,Somalia,01/07/1960,31/12/9999,FALSE
522,DJI,Djibouti,27/06/1977,31/12/9999,FALSE
530,ETH,Ethiopia,1855-02-11,31/12/9999,FALSE
531,ERI,Eritrea,24/05/1993,31/12/9999,FALSE
540,ANG,Angola,11/11/1975,31/12/9999,FALSE
541,MZM,Mozambique,25/06/1975,31/12/9999,FALSE
551,ZAM,Zambia,24/10/1964,31/12/9999,FALSE
552,ZIM,Zimbabwe (Rhodesia),11/11/1965,31/12/9999,FALSE
553,MAW,Malawi,06/07/1964,31/12/9999,FALSE
560,SAF,South Africa,31/05/1910,31/12/9999,FALSE
563,TRA,Transvaal,1852-01-01,30/05/1910,FALSE
564,OFS,Orange Free State,1854-03-28,30/05/1910,FALSE
565,NAM,Namibia,21/03/1990,31/12/9999,FALSE
570,LES,Lesotho,04/10/1966,31/12/9999,FALSE
571,BOT,Botswana,30/09/1966,31/12/9999,FALSE
572,SWA,Swaziland,06/09/1968,31/12/9999,FALSE
580,MAG,Madagascar (Malagasy),1816-01-01,1896-08-05,FALSE
580,MAG,Madagascar,26/06/1960,31/12/9999,FALSE
581,COM,Comoros,06/07/1975,31/12/9999,FALSE
590,MAS,Mauritius,12/03/1968,31/12/9999,FALSE
600,MOR,Morocco,1816-01-01,01/01/1904,FALSE
600,MOR,Morocco,02/03/1956,31/12/9999,FALSE
615,ALG,Algeria,1816-01-01,1830-07-05,FALSE
615,ALG,Algeria,05/07/1962,31/12/9999,FALSE
616,TUN,Tunisia,1816-01-01,1881-05-12,FALSE
616,TUN,Tunisia,01/01/1956,31/12/9999,FALSE
620,LIB,Libya,1816-01-01,1834-12-31,FALSE
620,LIB,Libya,24/12/1951,31/12/9999,FALSE
625,SUD,Sudan,01/01/1956,31/12/9999,FALSE
626,SSD,South Sudan,09/07/2011,31/12/9999,FALSE
630,IRN,Iran (Persia),1816-01-01,31/12/9999,FALSE
640,TUR,Turkey (Ottoman Empire),1816-01-01,31/12/9999,FALSE
645,IRQ,Iraq,03/10/1932,31/12/9999,FALSE
651,EGY,Egypt,1827-01-01,1855-12-31,FALSE
651,EGY,Egypt,28/02/1922,31/12/9999,FALSE
652,SYR,Syria,01/01/1946,31/12/9999,FALSE
660,LEB,Lebanon,22/11/1944,31/12/9999,FALSE
663,JOR,Jordan,25/05/1946,31/12/9999,FALSE
